algorithm;computer;mode;filename;run_number;internal_time;external_time;external_memory;opt;
ukp5;desktop;parallel;saw_n50000wmin5000-39-s729180851c816843.ukp;1;0.690373;0.81;18652;817167;
ukp5;desktop;parallel;hi_n50000-1-s594914841c53791268.ukp;1;5.26946;5.60;1279392;27006171766;
ukp5;desktop;parallel;hi_n50000-24-s320356631c94209554.ukp;2;5.77908;6.30;2226512;47279866768;
ukp5;desktop;parallel;hi_n10000-36-s442208726c59442236.ukp;2;1.20649;1.44;1412244;6022409912;
ukp5;desktop;parallel;nsds2_n50000wmin50000-13-s273864349c1970782.ukp;1;4.99879;5.16;65016;5989405;
ukp5;desktop;parallel;saw_n50000wmin10000-1-s464585179c705770.ukp;1;0.981106;1.10;16428;706118;
ukp5;desktop;parallel;saw_n100000wmin10000-7-s930328241c6452970.ukp;1;6.60723;6.86;96996;6454258;
ukp5;desktop;parallel;hi_n10000-12-s420935988c69330407.ukp;1;1.10685;1.37;1643724;7022051602;
ukp5;desktop;parallel;hi_n20000-12-s420935988c55461121.ukp;2;1.35716;1.62;1318600;11166156062;
ukp5;desktop;parallel;saw_n50000wmin5000-15-s274936000c536014.ukp;1;0.678786;0.80;13636;536119;
ukp5;desktop;parallel;hi_n50000-3-s300958364c58496380.ukp;1;3.94252;4.29;1389072;29309834327;
ukp5;desktop;parallel;saw_n50000wmin5000-42-s650361348c648503.ukp;1;0.743963;0.91;15756;649018;
ukp5;desktop;parallel;hi_n10000-41-s262685617c74110651.ukp;1;1.32984;1.62;1755848;7489658205;
ukp5;desktop;parallel;hi_n5000-20-s742053853c4277527.ukp;1;0.109179;0.15;105268;222333758;
ukp5;desktop;parallel;hi_n10000-47-s442730424c11037950.ukp;3;0.345012;0.41;277564;1116286107;
ukp5;desktop;parallel;hi_n10000-23-s605460062c54812232.ukp;1;0.980301;1.22;1303668;5528611140;
ukp5;desktop;parallel;sc_a5n5000wmin50000-0-c415081.ukp;1;0.131215;0.15;11756;415121;
ukp5;desktop;parallel;nsds2_n50000wmin50000-4-s135458708c1790901.ukp;1;5.75669;5.88;60828;5426893;
ukp5;desktop;parallel;ss2_wmin10000wmax1000000n50000-0-s827183242c6373385.ukp;2;0.0186681;0.18;85400;6373385;
ukp5;desktop;parallel;nsds2_n50000wmin50000-15-s161344243c1096797.ukp;1;5.57554;5.70;44420;3240873;
ukp5;desktop;parallel;hi_n5000-0-s731232778c5052835.ukp;1;0.121901;0.17;123400;263175571;
ukp5;desktop;parallel;hi_n5000-40-s534548386c5024417.ukp;1;0.10868;0.15;122876;261426692;
ukp5;desktop;parallel;saw_n100000wmin10000-12-s1910782c7694198.ukp;1;8.75956;9.08;107868;7696503;
ukp5;desktop;parallel;hi_n20000-4-s182130978c46428515.ukp;1;1.23398;1.48;1106860;9352352494;
ukp5;desktop;parallel;ss2_wmin100000wmax1000000n10000-0-s827183242c8590109.ukp;1;0.0333091;0.07;105284;8590109;
ukp5;desktop;parallel;hi_n5000-35-s889293313c3962519.ukp;1;0.0835444;0.11;97768;205270069;
ukp5;desktop;parallel;nsds2_n20000wmin20000-3-s603562343c1357401.ukp;1;1.00936;1.10;50804;1693656;
ukp5;desktop;parallel;ss2_wmin100000wmax1000000n20000-0-s827183242c5977860.ukp;1;0.0350448;0.09;81988;5977860;
ukp5;desktop;parallel;nsds2_n20000wmin20000-11-s577782098c1871029.ukp;2;1.1144;1.17;62232;2360563;
ukp5;desktop;parallel;saw_n50000wmin10000-13-s664283699c1044103.ukp;2;1.01367;1.13;20808;1044621;
ukp5;desktop;parallel;hi_n50000-25-s199811851c19155432.ukp;2;4.5004;4.73;467388;9506182833;
ukp5;desktop;parallel;hi_n5000-34-s467641010c7638994.ukp;1;0.133849;0.18;183972;396778261;
ukp5;desktop;parallel;hi_n50000-12-s420935988c11457020.ukp;1;4.38651;4.55;286572;5668617083;
ukp5;desktop;parallel;ss2_wmin50000wmax500000n50000-0-s827183242c8208267.ukp;1;0.0714514;0.26;84108;8208267;
ukp5;desktop;parallel;hi_n20000-12-s420935988c55461121.ukp;3;1.87638;2.11;1318728;11166156062;
ukp5;desktop;parallel;hi_n50000-45-s19378828c59507496.ukp;1;3.99918;4.41;1412528;29819867539;
ukp5;desktop;parallel;nsds2_n20000wmin50000-17-s414892754c1072316.ukp;2;1.0587;1.11;43080;1369353;
ukp5;desktop;parallel;saw_n50000wmin5000-46-s488703061c264661.ukp;1;0.697044;0.86;10488;264764;
ukp5;desktop;parallel;hi_n20000-15-s750851024c17795343.ukp;1;0.957673;1.07;435840;3536797452;
ukp5;desktop;parallel;hi_n20000-23-s605460062c74433867.ukp;1;1.71021;2.04;1763324;14969284591;
ukp5;desktop;parallel;saw_n50000wmin5000-44-s597305222c771108.ukp;1;0.700736;0.82;16032;771569;
ukp5;desktop;parallel;hi_n50000-30-s418727292c90211289.ukp;1;5.84385;6.33;2087640;45290793835;
ukp5;desktop;parallel;hi_n50000-46-s956143877c64815374.ukp;1;5.69125;6.11;1536388;32539616760;
ukp5;desktop;parallel;hi_n20000-6-s398797429c8780715.ukp;1;1.36459;1.48;224680;1727442377;
ukp5;desktop;parallel;nsds2_n50000wmin20000-2-s463795034c1454414.ukp;1;6.14112;6.28;53872;4387033;
ukp5;desktop;parallel;hi_n20000-20-s742053853c66621104.ukp;1;1.54724;1.82;1580304;13421598642;
ukp5;desktop;parallel;hi_n10000-23-s605460062c54812232.ukp;2;1.00326;1.21;1303512;5528611140;
ukp5;desktop;parallel;saw_n50000wmin10000-15-s274936000c647396.ukp;1;0.999845;1.16;16104;647459;
ukp5;desktop;parallel;nsds2_n20000wmin20000-3-s603562343c1357401.ukp;2;0.795884;0.88;50844;1693656;
ukp5;desktop;parallel;hi_n20000-35-s889293313c63466318.ukp;1;1.44264;1.74;1506368;12761164425;
