algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
eduk2;128_16_std_breqd-n4096-s8.ukp;1;0.00333;0.00;5468;8339457;
ukp5;128_16_std_breqd-n4096-s8.ukp;1;0.0355327;0.05;23944;8339457;
ukp5_sbw;128_16_std_breqd-n4096-s8.ukp;1;0.0880992;0.10;23944;8339457;
cpp-mtu1;128_16_std_breqd-n4096-s8.ukp;1;0.000234415;0.01;3524;8339457;
cpp-mtu2;128_16_std_breqd-n4096-s8.ukp;1;0.000133356;0.02;3336;8339457;
mgreendp;128_16_std_breqd-n4096-s8.ukp;1;0.00088305;0.01;7508;8339457;
mgreendp1;128_16_std_breqd-n4096-s8.ukp;1;326.493;326.51;1915488;8339457;
eduk;128_16_std_breqd-n4096-s9.ukp;1;3.10333;3.11;10512;8245785;
eduk2;128_16_std_breqd-n4096-s9.ukp;1;0.00333;0.00;5500;8245785;
ukp5;128_16_std_breqd-n4096-s9.ukp;1;0.121065;0.13;23976;8245785;
ukp5_sbw;128_16_std_breqd-n4096-s9.ukp;1;0.0890528;0.10;23972;8245785;
cpp-mtu1;128_16_std_breqd-n4096-s9.ukp;1;0.000265642;0.01;3404;8245785;
cpp-mtu2;128_16_std_breqd-n4096-s9.ukp;1;0.000134927;0.01;3508;8245785;
mgreendp;128_16_std_breqd-n4096-s9.ukp;1;0.00121106;0.01;7416;8245785;
mgreendp1;128_16_std_breqd-n4096-s9.ukp;1;;600.00;1875684;;
eduk;128_16_std_breqd-n8192-s0.ukp;1;4.88000;4.89;13008;16558632;
eduk2;128_16_std_breqd-n8192-s0.ukp;1;0.00333;0.00;6160;16558632;
ukp5;128_16_std_breqd-n8192-s0.ukp;1;0.205942;0.23;44356;16558632;
ukp5_sbw;128_16_std_breqd-n8192-s0.ukp;1;0.441574;0.47;44488;16558632;
cpp-mtu1;128_16_std_breqd-n8192-s0.ukp;1;0.000562385;0.02;3572;16558632;
cpp-mtu2;128_16_std_breqd-n8192-s0.ukp;1;0.000222771;0.02;3360;16558632;
mgreendp;128_16_std_breqd-n8192-s0.ukp;1;0.00297792;0.04;11628;16558632;
mgreendp1;128_16_std_breqd-n8192-s0.ukp;1;;600.02;2847912;;
eduk;128_16_std_breqd-n8192-s1.ukp;1;2.62000;2.63;12928;16553773;
eduk2;128_16_std_breqd-n8192-s1.ukp;1;0.00333;0.01;7680;16553773;
ukp5;128_16_std_breqd-n8192-s1.ukp;1;0.135917;0.16;44344;16553773;
ukp5_sbw;128_16_std_breqd-n8192-s1.ukp;1;0.438029;0.46;44408;16553773;
cpp-mtu1;128_16_std_breqd-n8192-s1.ukp;1;0.000641381;0.02;3560;16553773;
cpp-mtu2;128_16_std_breqd-n8192-s1.ukp;1;0.000215473;0.02;3488;16553773;
mgreendp;128_16_std_breqd-n8192-s1.ukp;1;0.00148124;0.05;11724;16553773;
mgreendp1;128_16_std_breqd-n8192-s1.ukp;1;;600.02;2873252;;
eduk;128_16_std_breqd-n8192-s2.ukp;1;6.07000;6.08;14316;16777216;
eduk2;128_16_std_breqd-n8192-s2.ukp;1;0.00000;0.00;7392;16777216;
ukp5;128_16_std_breqd-n8192-s2.ukp;1;0.285826;0.31;44352;16777216;
ukp5_sbw;128_16_std_breqd-n8192-s2.ukp;1;0.440364;0.47;44348;16777216;
cpp-mtu1;128_16_std_breqd-n8192-s2.ukp;1;0.000549426;0.02;3468;16777216;
cpp-mtu2;128_16_std_breqd-n8192-s2.ukp;1;0.000111667;0.02;3400;16777216;
mgreendp;128_16_std_breqd-n8192-s2.ukp;1;0.192605;0.21;19868;16777216;
mgreendp1;128_16_std_breqd-n8192-s2.ukp;1;;600.02;2881032;;
eduk;128_16_std_breqd-n8192-s3.ukp;1;2.22667;2.23;13008;16737084;
eduk2;128_16_std_breqd-n8192-s3.ukp;1;0.00333;0.01;7920;16737084;
ukp5;128_16_std_breqd-n8192-s3.ukp;1;0.129318;0.16;44372;16737084;
ukp5_sbw;128_16_std_breqd-n8192-s3.ukp;1;0.444701;0.47;44424;16737084;
cpp-mtu1;128_16_std_breqd-n8192-s3.ukp;1;0.000517479;0.02;3560;16737084;
cpp-mtu2;128_16_std_breqd-n8192-s3.ukp;1;0.000217324;0.02;3480;16737084;
mgreendp;128_16_std_breqd-n8192-s3.ukp;1;0.00151977;0.06;11720;16737084;
mgreendp1;128_16_std_breqd-n8192-s3.ukp;1;;600.02;2836460;;
eduk;128_16_std_breqd-n8192-s4.ukp;1;6.42333;6.43;14340;16572585;
eduk2;128_16_std_breqd-n8192-s4.ukp;1;0.00667;0.01;6084;16572585;
ukp5;128_16_std_breqd-n8192-s4.ukp;1;0.296658;0.33;44316;16572585;
ukp5_sbw;128_16_std_breqd-n8192-s4.ukp;1;0.440732;0.47;44368;16572585;
cpp-mtu1;128_16_std_breqd-n8192-s4.ukp;1;0.000558333;0.02;3560;16572585;
cpp-mtu2;128_16_std_breqd-n8192-s4.ukp;1;0.000223309;0.02;3424;16572585;
mgreendp;128_16_std_breqd-n8192-s4.ukp;1;0.00296237;0.02;11752;16572585;
mgreendp1;128_16_std_breqd-n8192-s4.ukp;1;;600.02;2815448;;
eduk;128_16_std_breqd-n8192-s5.ukp;1;3.27667;3.28;12924;16452020;
eduk2;128_16_std_breqd-n8192-s5.ukp;1;0.00000;0.00;7676;16452020;
ukp5;128_16_std_breqd-n8192-s5.ukp;1;0.153107;0.18;44328;16452020;
ukp5_sbw;128_16_std_breqd-n8192-s5.ukp;1;0.43706;0.46;44380;16452020;
cpp-mtu1;128_16_std_breqd-n8192-s5.ukp;1;0.000594406;0.02;3628;16452020;
cpp-mtu2;128_16_std_breqd-n8192-s5.ukp;1;0.000225645;0.02;3480;16452020;
mgreendp;128_16_std_breqd-n8192-s5.ukp;1;0.00262131;0.02;11784;16452020;
mgreendp1;128_16_std_breqd-n8192-s5.ukp;1;;600.02;2865476;;
eduk;128_16_std_breqd-n8192-s6.ukp;1;3.62333;3.63;12908;16267002;
eduk2;128_16_std_breqd-n8192-s6.ukp;1;0.00667;0.01;6264;16267002;
ukp5;128_16_std_breqd-n8192-s6.ukp;1;0.164917;0.20;44324;16267002;
ukp5_sbw;128_16_std_breqd-n8192-s6.ukp;1;0.437613;0.46;44328;16267002;
cpp-mtu1;128_16_std_breqd-n8192-s6.ukp;1;0.000662677;0.02;3560;16267002;
cpp-mtu2;128_16_std_breqd-n8192-s6.ukp;1;0.000224513;0.02;3424;16267002;
mgreendp;128_16_std_breqd-n8192-s6.ukp;1;0.00261906;0.03;11704;16267002;
mgreendp1;128_16_std_breqd-n8192-s6.ukp;1;;600.02;2753204;;
eduk;128_16_std_breqd-n8192-s7.ukp;1;5.44000;5.45;12656;16596252;
eduk2;128_16_std_breqd-n8192-s7.ukp;1;0.00000;0.00;7512;16596252;
ukp5;128_16_std_breqd-n8192-s7.ukp;1;0.237751;0.27;44372;16596252;
ukp5_sbw;128_16_std_breqd-n8192-s7.ukp;1;0.437786;0.46;44464;16596252;
cpp-mtu1;128_16_std_breqd-n8192-s7.ukp;1;0.000506222;0.02;3476;16596252;
cpp-mtu2;128_16_std_breqd-n8192-s7.ukp;1;0.000220445;0.02;3516;16596252;
mgreendp;128_16_std_breqd-n8192-s7.ukp;1;0.00441267;0.10;11624;16596252;
mgreendp1;128_16_std_breqd-n8192-s7.ukp;1;;600.02;2838924;;
eduk;128_16_std_breqd-n8192-s8.ukp;1;3.56667;3.57;12684;16711681;
eduk2;128_16_std_breqd-n8192-s8.ukp;1;0.00333;0.00;6216;16711681;
ukp5;128_16_std_breqd-n8192-s8.ukp;1;0.157162;0.19;44472;16711681;
ukp5_sbw;128_16_std_breqd-n8192-s8.ukp;1;0.438546;0.46;44380;16711681;
cpp-mtu1;128_16_std_breqd-n8192-s8.ukp;1;0.000637139;0.02;3648;16711681;
cpp-mtu2;128_16_std_breqd-n8192-s8.ukp;1;0.000221422;0.02;3380;16711681;
mgreendp;128_16_std_breqd-n8192-s8.ukp;1;0.00155311;0.02;11708;16711681;
