num_iter;knapsack_time;sort_time
 209; 0x1.1647f3923c0adp-11; 0x0p+0
 210; 0x1.2bc703343cf38p-11; 0x0p+0
 211; 0x1.33e0cf858633bp-11; 0x0p+0
 212; 0x1.23da721e4ce99p-11; 0x0p+0
 213; 0x1.1e832b76aee69p-11; 0x0p+0
 214; 0x1.219ecffe1e6d4p-11; 0x0p+0
 215; 0x1.0b63d8b9e25bdp-11; 0x0p+0
 216; 0x1.26e3f8152d975p-11; 0x0p+0
 217; 0x1.19d20e2a3a3b4p-11; 0x0p+0
 218; 0x1.31a2397b4bd0cp-11; 0x0p+0
 219; 0x1.08f2a91096367p-11; 0x0p+0
 220; 0x1.2a1df1e9a3028p-11; 0x0p+0
 221; 0x1.340e2d1cf73a4p-11; 0x0p+0
 222; 0x1.2071a0bd60846p-11; 0x0p+0
 223; 0x1.20d9ea41a7c02p-11; 0x0p+0
 224; 0x1.15a67cce542dcp-11; 0x0p+0
 225; 0x1.0ffa852803bb6p-11; 0x0p+0
 226; 0x1.26b4fe2c9ecd1p-11; 0x0p+0
 227; 0x1.26298a67f861dp-11; 0x0p+0
 228; 0x1.2955b12ed8fdep-11; 0x0p+0
 229; 0x1.1cb4ec8650919p-11; 0x0p+0
 230; 0x1.15547b017e047p-11; 0x0p+0
 231; 0x1.ff81c4aa833aap-12; 0x0p+0
 232; 0x1.1b9fc3aa394fp-11; 0x0p+0
 233; 0x1.18a67b3a9a15fp-11; 0x0p+0
 234; 0x1.1c9968c73ec36p-11; 0x0p+0
 235; 0x1.33c9b9a5863f8p-11; 0x0p+0
 236; 0x1.4fc07f030cc73p-12; 0x0p+0
 237; 0x1.30e3c5034c323p-11; 0x0p+0
 238; 0x1.26b768a64b728p-11; 0x0p+0
 239; 0x1.3039fbf19fe25p-11; 0x0p+0
 240; 0x1.3fa3d9e4626abp-11; 0x0p+0
 241; 0x1.2170c69a36552p-11; 0x0p+0
 242; 0x1.2a800ee1a2d06p-11; 0x0p+0
 243; 0x1.2a1690208541dp-11; 0x0p+0
 244; 0x1.3b09044f5ed1cp-11; 0x0p+0
 245; 0x1.1ab3cf3eb0d99p-11; 0x0p+0
 246; 0x1.17f7bad97caafp-11; 0x0p+0
 247; 0x1.258f531116753p-11; 0x0p+0
 248; 0x1.1f75f83af5db7p-11; 0x0p+0
 249; 0x1.2d0a1318247dep-11; 0x0p+0
 250; 0x1.33a175b99e248p-11; 0x0p+0
 251; 0x1.1441defb2b37ap-11; 0x0p+0
 252; 0x1.3c5dcbaf8dc41p-11; 0x0p+0
 253; 0x1.1d5104e67fe28p-11; 0x0p+0
 254; 0x1.25634d129391ap-11; 0x0p+0
 255; 0x1.3f28a3a6fd742p-11; 0x0p+0
 256; 0x1.2f4124fd294fdp-11; 0x0p+0
 257; 0x1.386e39213c6e5p-11; 0x0p+0
 258; 0x1.2732e39be009bp-11; 0x0p+0
