algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
cpp-mtu1;hi_n5000-48-s888315654c8258588.ukp;1;0.178128;0.19;3496;429976368;
mgreendp1;hi_n10000-33-s126192256c7867079.ukp;1;;263.77;7821288;;
mgreendp1;nsds2_n50000wmin50000-10-s260379653c1520334.ukp;1;;600.00;601064;;
cpp-mtu2;saw_n10000wmin10000-1-s464585179c112578.ukp;1;0.00422388;0.03;3504;112631;
cpp-mtu1;hi_n20000-17-s994385767c39687653.ukp;1;;600.00;4272;;
cpp-mtu1;hi_n5000-21-s669712253c4156282.ukp;1;;600.00;3436;;
cpp-mtu2;nsds2_n20000wmin50000-15-s161344243c1048427.ukp;1;3.47554;3.52;4752;1343116;
cpp-mtu1;hi_n10000-30-s418727292c56574382.ukp;1;;600.00;3684;;
cpp-mtu1;hi_n50000-16-s221755733c4342551.ukp;1;;600.00;5908;;
cpp-mtu1;sc_a-5n5000wmin10000-1-c604335.ukp;1;;600.00;3544;;
cpp-mtu2;nsds2_n20000wmin20000-19-s618866736c1596239.ukp;1;1.87042;1.91;4524;1998608;
cpp-mtu2;hi_n50000-49-s147981886c93577815.ukp;1;;600.00;4784;;
cpp-mtu2;saw_n50000wmin5000-27-s676832060c273723.ukp;1;0.166738;0.27;5632;273776;
cpp-mtu2;sc_a5n5000wmin10000-0-c591952.ukp;1;;600.00;3388;;
mgreendp1;hi_n20000-6-s398797429c8780715.ukp;1;;44.59;7821980;;
cpp-mtu2;ss2_wmin10000wmax500000n10000-0-s827183242c8822301.ukp;1;0.00111802;0.02;3708;8822301;
cpp-mtu2;hi_n5000-39-s713413380c7875145.ukp;1;;600.00;3280;;
cpp-mtu2;nsds2_n20000wmin50000-12-s774727805c1128316.ukp;1;9.12595;9.17;4816;1438367;
cpp-mtu1;saw_n50000wmin10000-2-s272488647c812838.ukp;1;0.0101625;0.10;5876;813080;
mgreendp1;hi_n50000-33-s126192256c89138604.ukp;1;;0.16;4896;;
cpp-mtu2;saw_n100000wmin10000-12-s1910782c7694198.ukp;1;3.08947;3.27;6880;7696503;
cpp-mtu2;hi_n5000-19-s808826180c589971.ukp;1;;600.00;3400;;
mgreendp1;nsds2_n50000wmin50000-11-s577782098c1211849.ukp;1;;600.00;708580;;
cpp-mtu1;hi_n20000-38-s527753500c52694607.ukp;1;;600.00;4360;;
cpp-mtu2;nsds2_n20000wmin20000-4-s135458708c1496815.ukp;1;121.321;121.37;4580;1885232;
