algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
mgreendp;rr_n131072-4-s157673c273195129.ukp;1;21.3164;21.60;4212340;276036491;
ordered_step_off;rr_n131072-5-s593483c274086777.ukp;1;45.24;45.52;4290836;275615782;
terminating_step_off;rr_n131072-5-s593483c274086777.ukp;1;44.8795;45.16;4291796;275615782;
eduk;rr_n131072-5-s593483c274086777.ukp;1;228.98331;229.05;74932;275615782;
eduk2;rr_n131072-5-s593483c274086777.ukp;1;113.40999;113.47;71796;275615782;
cpp-mtu1;rr_n131072-5-s593483c274086777.ukp;1;;1800.00;10364;;
cpp-mtu2;rr_n131072-5-s593483c274086777.ukp;1;;1800.00;8452;;
mgreendp;rr_n131072-5-s593483c274086777.ukp;1;44.4112;44.69;4227332;275615782;
ordered_step_off;rr_n131072-6-s18085c271251137.ukp;1;61.4183;61.70;4246320;273447033;
terminating_step_off;rr_n131072-6-s18085c271251137.ukp;1;60.5992;60.89;4247668;273447033;
eduk;rr_n131072-6-s18085c271251137.ukp;1;210.83331;210.94;80096;273447033;
eduk2;rr_n131072-6-s18085c271251137.ukp;1;5.49333;5.53;71464;273447033;
cpp-mtu1;rr_n131072-6-s18085c271251137.ukp;1;;1800.00;10408;;
cpp-mtu2;rr_n131072-6-s18085c271251137.ukp;1;;1800.00;8480;;
mgreendp;rr_n131072-6-s18085c271251137.ukp;1;60.3348;60.61;4181832;273447033;
ordered_step_off;rr_n131072-7-s927782c271598749.ukp;1;6.43474;6.71;4251920;275619126;
terminating_step_off;rr_n131072-7-s927782c271598749.ukp;1;6.42955;6.71;4253076;275619126;
eduk;rr_n131072-7-s927782c271598749.ukp;1;23.00000;23.04;64264;275619126;
eduk2;rr_n131072-7-s927782c271598749.ukp;1;13.06000;13.10;70148;275619126;
cpp-mtu1;rr_n131072-7-s927782c271598749.ukp;1;;1800.00;10444;;
cpp-mtu2;rr_n131072-7-s927782c271598749.ukp;1;;1800.00;8480;;
mgreendp;rr_n131072-7-s927782c271598749.ukp;1;5.90432;6.18;4188324;275619126;
ordered_step_off;rr_n131072-8-s961444c275599244.ukp;1;100.864;101.14;4314204;277392880;
terminating_step_off;rr_n131072-8-s961444c275599244.ukp;1;99.9054;100.18;4315336;277392880;
eduk;rr_n131072-8-s961444c275599244.ukp;1;397.15663;397.26;93636;277392880;
eduk2;rr_n131072-8-s961444c275599244.ukp;1;238.33331;238.43;77948;277392880;
cpp-mtu1;rr_n131072-8-s961444c275599244.ukp;1;;1800.00;10284;;
cpp-mtu2;rr_n131072-8-s961444c275599244.ukp;1;;1800.00;11520;;
mgreendp;rr_n131072-8-s961444c275599244.ukp;1;99.2376;99.53;4250860;277392880;
ordered_step_off;rr_n131072-9-s31935c273663227.ukp;1;53.4108;53.69;4284172;275922938;
terminating_step_off;rr_n131072-9-s31935c273663227.ukp;1;52.8182;53.10;4285300;275922938;
eduk;rr_n131072-9-s31935c273663227.ukp;1;202.13665;202.22;93412;275922938;
eduk2;rr_n131072-9-s31935c273663227.ukp;1;50.34666;50.39;73064;275922938;
cpp-mtu1;rr_n131072-9-s31935c273663227.ukp;1;;1800.00;10320;;
cpp-mtu2;rr_n131072-9-s31935c273663227.ukp;1;;1800.00;10444;;
mgreendp;rr_n131072-9-s31935c273663227.ukp;1;52.4863;52.76;4220776;275922938;
ordered_step_off;rr_n16384-0-s926607c33963226.ukp;1;0.351569;0.38;534428;34341771;
terminating_step_off;rr_n16384-0-s926607c33963226.ukp;1;0.283111;0.32;426904;34341771;
eduk;rr_n16384-0-s926607c33963226.ukp;1;0.23000;0.23;9940;34341771;
eduk2;rr_n16384-0-s926607c33963226.ukp;1;0.14667;0.15;15992;34341771;
cpp-mtu1;rr_n16384-0-s926607c33963226.ukp;1;0.769576;0.81;4020;34341771;
cpp-mtu2;rr_n16384-0-s926607c33963226.ukp;1;0.175561;0.21;3624;34341771;
mgreendp;rr_n16384-0-s926607c33963226.ukp;1;0.282081;0.32;502504;34341771;
ordered_step_off;rr_n16384-1-s446531c33868122.ukp;1;0.510479;0.55;532804;34175379;
terminating_step_off;rr_n16384-1-s446531c33868122.ukp;1;0.481937;0.52;482040;34175379;
eduk;rr_n16384-1-s446531c33868122.ukp;1;0.38000;0.39;11380;34175379;
eduk2;rr_n16384-1-s446531c33868122.ukp;1;0.05333;0.06;12000;34175379;
cpp-mtu1;rr_n16384-1-s446531c33868122.ukp;1;0.0120029;0.05;4024;34175379;
