num_iter;knapsack_time;sort_time
 275; 0x1.84dbada174959p-14; 0x1.4cde4c736d826p-15
 276; 0x1.61e46df59e49ap-13; 0x1.548b3f0545dc8p-15
 277; 0x1.a321f25cee067p-14; 0x1.5a1495db9660ap-15
 278; 0x1.7b699c95913b1p-14; 0x1.46b1c02bff8d4p-15
 279; 0x1.8cffcfa5e77d2p-14; 0x1.41a942aefc2c6p-15
 280; 0x1.5843a7b95bc5ap-14; 0x1.516a3c1a1dc9ap-15
 281; 0x1.0986d63748857p-13; 0x1.53bf3c37e10f4p-15
 282; 0x1.06aed6febb17bp-13; 0x1.5844ba9a1a48p-15
 283; 0x1.3da277e493122p-14; 0x1.562e0167808f3p-15
 284; 0x1.9fe1cbfc312d4p-14; 0x1.546271a8fe804p-15
 285; 0x1.333ecf513f157p-13; 0x1.4e17d4ccba472p-15
 286; 0x1.714cd1f35adeap-14; 0x1.590e97a602106p-15
 287; 0x1.e04d65c2044f7p-14; 0x1.4bf4391132713p-15
 288; 0x1.6d6ed4853920ap-14; 0x1.44028e4fb97bbp-15
 289; 0x1.f91eba5550ea5p-14; 0x1.4c9ddfc6c6f0bp-15
 290; 0x1.0baa71f2d05b6p-13; 0x1.591fc5b1ea373p-15
 291; 0x1.6fe2f818912cap-14; 0x1.5477eb37e0b0dp-15
 292; 0x1.37e8cf8cc5a0bp-13; 0x1.5d1bd3b4e2393p-15
 293; 0x1.671a0451e3108p-13; 0x1.539ce02010c1ap-15
 294; 0x1.3fbe060a8615ep-13; 0x1.4fafda6783e19p-15
 295; 0x1.cf7a9e791ec73p-14; 0x1.4d96fb736d23ep-15
 296; 0x1.8b31074529e6fp-14; 0x1.4febfb9130698p-15
 297; 0x1.ca4258eafdba6p-13; 0x1.4fc108736c086p-15
 298; 0x1.77fac10475384p-13; 0x1.4fab8ee489d7ep-15
 299; 0x1.9b213f5109efp-14; 0x1.56528340cde1bp-15
 300; 0x1.a6da5b1103ef8p-14; 0x1.4ea36aed7882bp-15
 301; 0x1.3f840aa25692cp-13; 0x1.5073462ef49b6p-15
 302; 0x1.27725fc3dfe93p-13; 0x1.544ad2589f4adp-15
 303; 0x1.1d742f26df11fp-13; 0x1.4f402f1a1ee52p-15
 304; 0x1.42ccc809077f7p-13; 0x1.4f8932ccb98a3p-15
 305; 0x1.b50cf8c80e884p-14; 0x1.54b1e6a01033ep-15
 306; 0x1.98a597987c52p-14; 0x1.576bd543c75dbp-15
 307; 0x1.70bcf04fa2996p-14; 0x1.5165f09723bffp-15
 308; 0x1.28fa4a337fdf3p-14; 0x1.58bad72bf653p-15
 309; 0x1.dae66b038419p-14; 0x1.5ae4e42bf5379p-15
 310; 0x1.e075203d8d295p-14; 0x1.59a7104fae691p-15
 311; 0x1.d0198867422e8p-14; 0x1.51167ba0120c5p-15
 312; 0x1.faf47d6ae4d05p-13; 0x1.46e3248e3afcep-15
 313; 0x1.837da36eda7e4p-13; 0x1.538ffd9722a48p-15
 314; 0x1.150d7ab44893ep-13; 0x1.51681658a0c4dp-15
 315; 0x1.1586cfe860263p-13; 0x1.544f1ddb99549p-15
 316; 0x1.6a2d9b43bdc4fp-14; 0x1.591fc5b1ea373p-15
 317; 0x1.4cb7a4d8a32bp-14; 0x1.5dfb2a4fac322p-15
 318; 0x1.ba609fb92993p-14; 0x1.556cbb618cda4p-15
 319; 0x1.af161c65d60c8p-14; 0x1.57c607024a299p-15
 320; 0x1.c39bedff18f1cp-14; 0x1.4f402f1a1ee52p-15
 321; 0x1.7521257aca06ep-14; 0x1.5f5d800540532p-15
 322; 0x1.47876ce016f04p-14; 0x1.51e4a42ef3de6p-15
 323; 0x1.d59c6df91ba41p-15; 0x1.53831b0e34875p-15
 324; 0x1.0717879749c45p-13; 0x1.54afc0de932fp-15
 325; 0x1.64dc1a141fbfp-14; 0x1.3dfa83e198d92p-15
 326; 0x1.848b25c9a45f8p-14; 0x1.41f2466196d17p-15
 327; 0x1.9dbf432167d9bp-14; 0x1.57384b200ee92p-15
 328; 0x1.914095d8801a8p-14; 0x1.551289a30a0e5p-15
 329; 0x1.240ca4a9173bp-14; 0x1.57f545a308946p-15
 330; 0x1.83c148bdbc972p-14; 0x1.649316618519fp-15
 331; 0x1.f3fc77c6714f3p-15; 0x1.5ae098a8fb2ddp-15
 332; 0x1.50d834b4e87f8p-14; 0x1.5c60fef36592dp-15
 333; 0x1.558347d12d8d3p-14; 0x1.4f66d6b4e93c8p-15
 334; 0x1.38c4ed8554125p-13; 0x1.5a1d2ce18a741p-15
 335; 0x1.462f4a8194a65p-13; 0x1.5e9c39ff4c9e3p-15
 336; 0x1.235e290029709p-13; 0x1.5ab5a58b36cccp-15
 337; 0x1.3d79aa884bb5ep-13; 0x1.5353dc6d761c9p-15
 338; 0x1.902c18c8dfe97p-13; 0x1.54c0eeea7b55ep-15
 339; 0x1.9f0ece79f6104p-13; 0x1.5871d3795badfp-15
 340; 0x1.3e12aca2574fcp-13; 0x1.43eaeeff5a465p-15
 341; 0x1.77490cb94be68p-14; 0x1.5a0e24971f521p-15
 342; 0x1.0327d2ace09e4p-13; 0x1.63f206b1e4adep-15
