algorithm;filename;run_number;total_iter;hex_sum_knapsack_time;hex_sum_sort_time;hex_sum_master_prob_time;hex_rolls;
ukp5_fp_cutstock;201_2500_NR_15.csp.txt;1;661;0x1.44e406607d7f7p-4;0x1.815ba84ff3659p-8;0x1.54544881a4044p-2;0x1.04p+6;
ukp5_fp_ns_cutstock;201_2500_NR_15.csp.txt;1;625;0x1.e020980c37016p-5;0x0p+0;0x1.2d881754f513ap-2;0x1.03ffffffffffep+6;
ukp5_int_cutstock;201_2500_NR_15.csp.txt;1;652;0x1.34d7fe9def026p-4;0x1.374010c4d1df2p-8;0x1.38b66f012e6cfp-2;0x1.03fffffffffffp+6;
ukp5_int_ns_cutstock;201_2500_NR_15.csp.txt;1;652;0x1.d53ca79d8ab79p-5;0x0p+0;0x1.3d2a24ca42612p-2;0x1.03fffffffffffp+6;
mtu1_cutstock;201_2500_NR_15.csp.txt;1;652;0x1.0e1714b518d11p+5;0x1.25b2b5271c576p-8;0x1.3a2e5f7dadc44p-2;0x1.03fffffffffffp+6;
cplex_cutstock;201_2500_NR_15.csp.txt;1;;;;;;
ukp5_fp_cutstock;201_2500_NR_25.csp.txt;1;788;0x1.0cc32d8085902p-3;0x1.db7aa50cbf55ap-8;0x1.8b986b57781d1p-2;0x1.03ffffffffffep+6;
ukp5_fp_ns_cutstock;201_2500_NR_25.csp.txt;1;829;0x1.9c8b2c7fa1061p-4;0x0p+0;0x1.c908c22404f56p-2;0x1.0400000000001p+6;
ukp5_int_cutstock;201_2500_NR_25.csp.txt;1;797;0x1.fef0361111a88p-4;0x1.9325bb6a3da4ep-8;0x1.934a164609f1cp-2;0x1.04p+6;
ukp5_int_ns_cutstock;201_2500_NR_25.csp.txt;1;796;0x1.77afc2837b52ap-4;0x0p+0;0x1.94f2d6d541efbp-2;0x1.03fffffffffffp+6;
mtu1_cutstock;201_2500_NR_25.csp.txt;1;;;;;;
cplex_cutstock;201_2500_NR_25.csp.txt;1;;;;;;
ukp5_fp_cutstock;201_2500_NR_42.csp.txt;1;766;0x1.919c1fb961692p-4;0x1.c7e5581a2e912p-8;0x1.94c1888733cc8p-2;0x1.0400000000001p+6;
ukp5_fp_ns_cutstock;201_2500_NR_42.csp.txt;1;766;0x1.2ad2bd04606a8p-4;0x0p+0;0x1.8a6159bfc2812p-2;0x1.03fffffffffffp+6;
ukp5_int_cutstock;201_2500_NR_42.csp.txt;1;714;0x1.670bd7128fbe3p-4;0x1.603da9141c27fp-8;0x1.65ce17583ee3dp-2;0x1.04p+6;
ukp5_int_ns_cutstock;201_2500_NR_42.csp.txt;1;708;0x1.feb51ea7ad4fep-5;0x0p+0;0x1.6a294b1f5a85cp-2;0x1.03ffffffffffdp+6;
mtu1_cutstock;201_2500_NR_42.csp.txt;1;;;;;;
cplex_cutstock;201_2500_NR_42.csp.txt;1;;;;;;
ukp5_fp_cutstock;201_2500_NR_49.csp.txt;1;817;0x1.0787cab18bf66p-3;0x1.d7132a5cd372cp-8;0x1.ac6aeaf443f8bp-2;0x1.04p+6;
ukp5_fp_ns_cutstock;201_2500_NR_49.csp.txt;1;850;0x1.6ed6ad65174aap-4;0x0p+0;0x1.be5c833018188p-2;0x1.03fffffffffffp+6;
