num_iter;knapsack_time;sort_time
134;0x1.b9905168cabc2p-14;0x1.46ebbb942f105p-15
135;0x1.db6db5a1484aep-14;0x1.4f6b2237e3463p-15
136;0x1.04c17498c7fc4p-13;0x1.46d867c6c9e4ap-15
137;0x1.0c6e672aa0566p-13;0x1.5459daa30a6cdp-15
138;0x1.3263c4396f264p-13;0x1.586b6234e49f6p-15
139;0x1.e4c0a33796deep-14;0x1.454d44b4ee676p-15
140;0x1.bfa28f2dfd35cp-13;0x1.4d96fb736d23ep-15
141;0x1.d6c664979e05ap-12;0x1.49947c2bfe135p-15
142;0x1.5e849aaeed68dp-14;0x1.636ce1d59d80ep-15
143;0x1.8c2d5b940ba16p-14;0x1.43cab8a906fd8p-15
144;0x1.cebeb6d6e39e6p-14;0x1.677c43a5faae9p-15
145;0x1.33b1b340df992p-14;0x1.5912e328fc1a1p-15
146;0x1.68ac221894dd8p-14;0x1.72f6059a0c9fep-15
147;0x1.9e6d3559f662fp-14;0x1.5294bc28ff6c7p-15
148;0x1.cff5068df4dbep-14;0x1.5b051a8248806p-15
149;0x1.ccd6b2d4a90f2p-13;0x1.632a4f6779ea6p-15
150;0x1.e2c29c361addep-14;0x1.48bb96d5ab28fp-15
151;0x1.e29f2d3d8c0ddp-14;0x1.4af0609d1b25cp-15
152;0x1.11d6fe3a3e508p-12;0x1.53ae0e2bf8e87p-15
153;0x1.45326cc253aabp-13;0x1.48ceeaa31054ap-15
154;0x1.460819766b0dcp-13;0x1.461d93054d3e4p-15
155;0x1.33fd662556845p-13;0x1.44383e34eef51p-15
156;0x1.fabc1e53d310ep-14;0x1.56e48aa6032bdp-15
157;0x1.aff8aba2db8cap-14;0x1.4ea1452bfb7dep-15
158;0x1.21fbd34a954f8p-13;0x1.719a2128ef8d7p-15
159;0x1.f79a91f84bbcdp-13;0x1.4e0af243cc2ap-15
160;0x1.3bfbf36fbd96ep-13;0x1.468f64142f3f9p-15
161;0x1.06c5ecdebb0bep-13;0x1.3bbafd52b7c41p-15
162;0x1.4f8f1aa0d1578p-13;0x1.4d13fc58a2fbcp-15
163;0x1.0e9066950a68cp-13;0x1.561aad9a1b637p-15
164;0x1.0f05b4fe5791fp-12;0x1.458fd72311fdep-15
165;0x1.4115158849dd6p-13;0x1.4612d63ddc26p-15
166;0x1.3425aa113e9f6p-13;0x1.4a48dfa903ab1p-15
167;0x1.880321d113b6fp-13;0x1.47a8b61728bb9p-15
168;0x1.67ed8b447d6eap-13;0x1.4d72799a1fd15p-15
